College Name,Genders Accepted,Total811Student811Enrollments,Total Faculty,Established Year,University,City,State,College Type,Average Fees
Birla Institute of Technology,Co-Ed,4506,284,1955,,Ranchi,Jharkhand,Private,596686.0465
International Institute of Information Technology,Co-Ed,1721,85,2001,,Hyderabad,Telangana,Private,756666.6667
BMS College of Engineering,Co-Ed,5610,298,1946,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,71558.66667
Thapar Institute of Engineering and Technology,Co-Ed,8150,482,1956,,Patiala,Punjab,Private,736823.0769
Shanmugha Arts Science Technology Research and Academy,Co-Ed,9838,750,2001,,Thanjavur,Tamil Nadu,Private,415918.0328
Nirma University,Co-Ed,8223,369,2003,,Ahmedabad,Gujarat,Private,705485.7143
Lovely Professional University,Co-Ed,47579,2200,2005,,Phagwara,Punjab,Private,423667.1769
Christ University,Co-Ed,20823,702,2008,,Bengaluru,Karnataka,Private,313873.7705
PES University,Co-Ed,6465,410,2013,,Bengaluru,Karnataka,Private,276055.5556
Maharashtra Institute of Technology,Co-Ed,1647,235,1983,"Dr Vishwanath Karad MIT World Peace University, Pune",Pune,Maharashtra,Private,695000
Amrita School of Engineering,Co-Ed,811,300,1994,"Amrita Vishwa Vidyapeetham, Coimbatore",Coimbatore,Tamil Nadu,Private,649857.1429
MIT College of Engineering,Co-Ed,1607,152,2001,"Dr Vishwanath Karad MIT World Peace University, Pune",Pune,Maharashtra,Private,943500
Thiagarajar College of Engineering,Co-Ed,3856,286,1957,"Anna University, Chennai",Madurai,Tamil Nadu,Private,130524.7368
BITS Pilani- Hyderabad Campus,Co-Ed,811,559,2008,"Birla Institute of Technology and Science, Pilani",Hyderabad,Telangana,Private,1110000
Dhirubhai Ambani Institute of Information and Communication Technology,Co-Ed,1689,58,2003,,Gandhinagar,Gujarat,Private,422000
Sri Sivasubramaniya Nadar College of Engineering,Co-Ed,3918,262,1996,"Anna University, Chennai",Kelambakkam,Tamil Nadu,Private,198333.3333
VIT University,Co-Ed,7763,381,2010,"Vellore Institute of Technology, Vellore",Kelambakkam,Tamil Nadu,Private,577000
Bangalore Institute of Technology,Co-Ed,4493,297,1979,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,178800
Vishwakarma Institute of Technology,Co-Ed,811,202,1983,"Savitribai Phule Pune University, Pune",Pune,Maharashtra,Private,511550
Jamia Hamdard,Co-Ed,7888,384,1989,,New Delhi,Delhi,Private,485076.9231
Symbiosis International University,Co-Ed,187,1321,2002,,Pune,Maharashtra,Private,706753.211
Chandigarh University,Co-Ed,23917,832,2012,,Chandigarh,Punjab,Private,389054.6875
BMS Institute of Technology and Management,Co-Ed,811,146,2002,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,188800
Dayananda Sagar College of Engineering,Co-Ed,7190,500,1979,"Visvesvaraya Technological University, Belagavi",Bengaluru,Karnataka,Private,250735.1613
